epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.298,1.36436,2.37552,1.43428,0.36476,0.2268,0.19113,0.09668,1.61607,2.8008,1.66591,0.000548807,0.000548807,0.000548807
2,1181.43,1.56503,2.26025,1.59192,0.28458,0.2595,0.18245,0.08046,1.88691,2.92109,1.93431,0.0010498,0.0010498,0.0010498
3,1548.52,1.65923,2.2585,1.65366,0.30614,0.34926,0.24217,0.11334,1.84345,2.60429,1.94153,0.00149579,0.00149579,0.00149579
4,2254.77,1.68453,2.23105,1.69987,0.3669,0.3382,0.27849,0.132,1.80315,2.40074,1.85533,0.00141945,0.00141945,0.00141945
5,2660.71,1.64097,2.15062,1.65895,0.3748,0.35367,0.28607,0.14097,1.74067,2.83755,1.7962,0.00133693,0.00133693,0.00133693
6,5943.67,1.61137,2.06467,1.6327,0.41101,0.38021,0.32856,0.16312,1.74592,2.27166,1.7926,0.00125442,0.00125442,0.00125442
7,6529.99,1.56108,2.00796,1.57529,0.41373,0.40659,0.34164,0.17123,1.72587,2.08497,1.74966,0.0011719,0.0011719,0.0011719
8,7793.7,1.52996,1.97369,1.5986,0.44802,0.38315,0.34338,0.17915,1.62787,2.07207,1.67866,0.00108938,0.00108938,0.00108938
9,9186.79,1.52606,1.91387,1.58153,0.49927,0.40131,0.38703,0.20941,1.61922,2.00748,1.65314,0.00100687,0.00100687,0.00100687
10,9547.32,1.48291,1.86121,1.54897,0.51517,0.46931,0.4536,0.25758,1.4962,1.8135,1.56167,0.000924352,0.000924352,0.000924352
11,9901.69,1.51541,2.0054,1.62167,0.45315,0.43989,0.41217,0.22225,1.52274,1.98288,1.62028,0.000841835,0.000841835,0.000841835
12,10254.7,1.48995,1.86313,1.59023,0.53634,0.48892,0.49263,0.28437,1.44058,1.74883,1.52378,0.000759318,0.000759318,0.000759318
13,10605.3,1.4594,1.75519,1.54306,0.55023,0.51335,0.51392,0.30695,1.42189,1.62252,1.50281,0.000676802,0.000676802,0.000676802
14,10954.1,1.41223,1.72155,1.53177,0.5978,0.52412,0.55353,0.33402,1.36887,1.53447,1.47416,0.000594286,0.000594286,0.000594286
15,11304.7,1.40255,1.627,1.5169,0.58963,0.52494,0.55274,0.33339,1.36462,1.54789,1.45649,0.000511769,0.000511769,0.000511769
16,11656.7,1.36107,1.59684,1.48906,0.62393,0.56902,0.59914,0.37167,1.31322,1.41429,1.41711,0.000429253,0.000429253,0.000429253
17,12008.1,1.35726,1.53227,1.46293,0.61882,0.57587,0.60093,0.37438,1.28278,1.41411,1.39364,0.000346736,0.000346736,0.000346736
18,12358,1.28404,1.4522,1.41888,0.66336,0.60393,0.64111,0.40946,1.24961,1.30756,1.3706,0.00026422,0.00026422,0.00026422
19,12708.9,1.26763,1.43358,1.40594,0.66432,0.6133,0.65344,0.42588,1.22166,1.25751,1.33515,0.000181703,0.000181703,0.000181703
20,13059.4,1.24552,1.3705,1.38119,0.677,0.62217,0.6718,0.44175,1.19768,1.21648,1.32292,9.91865e-05,9.91865e-05,9.91865e-05
